stockidname,type
1101台泥,水泥
1102亞泥,水泥
1103嘉泥,水泥
1104環泥,水泥
1108幸福,水泥
1109信大,水泥
1110東泥,水泥
2504國產,水泥
5520力泰,水泥
5546永固-KY,水泥
8463潤泰材,水泥
8936國統,水泥
9930中聯資源,水泥
1210大成,大宗物資
1216統一,大宗物資
1218泰山,大宗物資
1219福壽,大宗物資
1220台榮,大宗物資
1225福懋油,大宗物資
1227佳格,大宗物資
1229聯華,大宗物資
1232大統益,大宗物資
1702南僑,大宗物資
1737臺鹽,大宗物資
2443昶虹,大宗物資
3313斐成,大宗物資
4207環泰,大宗物資
1301台塑,石化業
1303南亞,石化業
1304台聚,石化業
1305華夏,石化業
1307三芳,石化業
1308亞聚,石化業
1309台達化,石化業
1310台苯,石化業
1312國喬,石化業
1313聯成,石化業
1315達新,石化業
1321大洋,石化業
1323永裕,石化業
1326台化,石化業
1337再生-KY,石化業
1339昭輝,石化業
1341富林-KY,石化業
1342八貫,石化業
1409新纖,石化業
2107厚生,石化業
3171新洲,石化業
4303信立,石化業
4304勝昱,石化業
4305世坤,石化業
4306炎洲,石化業
5452佶優,石化業
6505台塑化,石化業
6508惠光,石化業
1315達新,成衣
1402遠東新,成衣
1417嘉裕,成衣
1419新紡,成衣
1437勤益控,成衣
1451年興,成衣
1467南緯,成衣
1473台南,成衣
1476儒鴻,成衣
1477聚陽,成衣
2906高林,成衣
2915潤泰全,成衣
2916滿心,成衣
4413飛寶企業,成衣
4414如興,成衣
4432銘旺實,成衣
4433興采,成衣
4438廣越,成衣
5906台南-KY,成衣
8429金麗-KY,成衣
8916光隆,成衣
1504東元,機械
1513中興電,機械
1515力山,機械
1517利奇,機械
1526日馳,機械
1527鑽全,機械
1528恩德,機械
1530亞崴,機械
1531高林股,機械
1532勤美,機械
1533車王電,機械
1536和大,機械
1538正峰,機械
1539巨庭,機械
1540喬福,機械
1541錩泰,機械
1558伸興,機械
1560中砂,機械
1570力肯,機械
1580新麥,機械
1583程泰,機械
1589永冠-KY,機械
1590亞德客-KY,機械
1593祺驊,機械
1597直得,機械
2012春雨,機械
2049上銀,機械
2067嘉鋼,機械
2208台船,機械
2308台達電,機械
2317鴻海,機械
2464盟立,機械
2630亞航,機械
2634漢翔,機械
2645長榮航太,機械
3178公準,機械
3379彬台,機械
3498陽程,機械
3646艾恩特,機械
4510高鋒,機械
4513福裕,機械
4523永彰,機械
4526東台,機械
4527方土霖,機械
4528江興鍛,機械
4532瑞智,機械
4533協易機,機械
4538大詠城,機械
4540全球傳動,機械
4541晟田,機械
4545銘鈺,機械
4549桓達,機械
4552力達-KY,機械
4555氣立,機械
4560強信-KY,機械
4561健椿,機械
4562穎漢,機械
4563百德,機械
4568科際精密,機械
4571鈞興-KY,機械
4572駐龍,機械
4576大銀微系統,機械
4580捷流閥業,機械
4583台灣精銳,機械
4584君帆,機械
4712南璋,機械
4744皇將,機械
5291邑昇,機械
5306桂盟,機械
5392能率,機械
5443均豪,機械
6125廣運,機械
6166凌華,機械
6215和椿,機械
6603富強鑫,機械
6609瀧澤科,機械
6641基士德-KY,機械
6668中揚光,機械
6753龍德造船,機械
6762達亞,機械
6829千附精密,機械
6843進典,機械
6855數泓科,機械
6859伯特光,機械
8083瑞穎,機械
8092建暐,機械
8222寶一,機械
8374羅昇,機械
8383千附,機械
8418捷必勝-KY,機械
8478東哥遊艇,機械
8499鼎炫-KY,機械
911608明輝-DR,機械
9914美利達,機械
9921巨大,機械
1504東元,家電
1604聲寶,家電
1611中電,家電
1614三洋電,家電
1626艾美特-KY,家電
2250IKKA-KY,家電
2371大同,家電
2430燦坤,家電
2438翔耀,家電
2937集雅社,家電
3024憶聲,家電
4609唐鋒,家電
4930燦星網,家電
4972湯石照明,家電
5283禾聯碩,家電
6201亞弘電,家電
6222上揚,家電
6275元山,家電
6281全國電,家電
6728上洋,家電
4721美琪瑪,電池材料相關
4739康普,電池材料相關
5227立凱-KY,電池材料相關
8038長園科,電池材料相關
2101南港,橡膠工業
2102泰豐,橡膠工業
2103台橡,橡膠工業
2104國際中橡,橡膠工業
2105正新,橡膠工業
2106建大,橡膠工業
2107厚生,橡膠工業
2108南帝,橡膠工業
2109華豐,橡膠工業
2114鑫永銓,橡膠工業
3642駿熠電,橡膠工業
6582申豐,橡膠工業
8423保綠-KY,橡膠工業
9942茂順,橡膠工業
1402遠東新,家居用品
1598岱宇,家居用品
1810和成,家居用品
1817凱撒衛,家居用品
2062橋椿,家居用品
2373震旦行,家居用品
2906高林,家居用品
3543州巧,家居用品
3557嘉威,家居用品
4950牧東,家居用品
5345天揚,家居用品
6616特昇-KY,家居用品
6807峰源-KY,家居用品
8066來思達,家居用品
8342益張,家居用品
8464億豐,家居用品
8482商億-KY,家居用品
8916光隆,家居用品
9911櫻花,家居用品
9924福興,家居用品
9934成霖,家居用品
9935慶豐富,家居用品
