stockidname,type
1101台泥,水泥/電力
1102亞泥,水泥/電力
1103嘉泥,水泥/運輸事業/地產/旅館、餐飲
1104環泥,水泥
1108幸福,水泥
1109信大,水泥
1110東泥,水泥
1201味全,食品加工/飲料相關
1203味王,資產股/食品加工/飲料相關
1210大成,大宗物資/農林漁牧/食品加工
1213大飲,飲料相關
1215卜蜂,農林漁牧/食品加工
1216統一,大宗物資/農林漁牧/食品加工/飲料相關
1217愛之味,食品加工/飲料相關
1218泰山,大宗物資/飲料相關
1219福壽,大宗物資/農林漁牧/食品加工
1220台榮,大宗物資/農林漁牧/食品加工/流通業
1225福懋油,大宗物資/農林漁牧
1227佳格,大宗物資/食品加工
1229聯華,大宗物資/軟體業
1231聯華食,食品加工
1232大統益,大宗物資/食品加工
1233天仁,食品加工/旅館、餐飲
1234黑松,資產股/飲料相關/流通業
1235興泰,農林漁牧
1236宏亞,食品加工
1240茂生農經,農林漁牧
1256鮮活果汁-KY,飲料相關
1258其祥-KY,農林漁牧/食品加工
1259安心,旅館、餐飲
1264德麥,食品加工/流通業
1268漢來美食,旅館、餐飲
1301台塑,石化業/化纖原料/化學工業
1303南亞,石化業/化纖原料/化學工業/印刷電路板相關
1304台聚,石化業
1305華夏,石化業
1307三芳,石化業/傳產其他
1308亞聚,石化業
1309台達化,石化業
1310台苯,石化業
1312國喬,石化業
1313聯成,石化業
1314中石化,資產股/化纖原料
1315達新,石化業/成衣/資產股/建材
1316上曜,化學工業/地產
1319東陽,汽機車零組件
1321大洋,石化業/資產股
1323永裕,石化業
1324地球,化學工業
1325恆大,紡織中游
1326台化,石化業/化纖原料/化學工業
1336台翰,電子零件元件
1337再生-KY,石化業/傳產其他
1338廣華-KY,汽車內裝
1339昭輝,石化業/汽機車零組件
1340勝悅-KY,傳產其他
1341富林-KY,石化業
1342八貫,石化業
1402遠東新,成衣/家居用品/控股公司/資產股/化纖原料/紡織中游
1409新纖,石化業/資產股/化纖原料
1410南染,IC封裝測試/資產股/紡織中游
1413宏洲,化纖原料
1414東和,資產股/紡織中游/地產
1416廣豐,軟體業/資產股/地產
1417嘉裕,成衣
1418東華,化纖原料
1419新紡,成衣/資產股/紡織中游/地產
1423利華,資產股/紡織中游
1432大魯閣,休閒娛樂/流通業
1434福懋,紡織中游/其他公用事業
1435中福,地產
1436華友聯,地產
1437勤益控,成衣/資產股/地產
1438三地開發,地產
1439雋揚,紡織中游
1440南紡,資產股/化纖原料/紡織中游
1441大東,紡織中游
1442名軒,地產
1443立益物流,運輸事業/地產
1444力麗,化纖原料
1445大宇,化纖原料/紡織中游
1446宏和,資產股/紡織中游/地產
1447力鵬,化纖原料/紡織中游
1449佳和,紡織中游
1451年興,成衣/紡織中游
1452宏益,化纖原料
1453大將,地產
1454台富,化纖原料/紡織中游
1455集盛,化纖原料
1456怡華,紡織中游/地產
