stock_id,stock_name,market,industry,type
1101,台泥,上市,水泥工業,水泥/電力
1102,亞泥,上市,水泥工業,水泥/電力
1103,嘉泥,上市,水泥工業,水泥/運輸事業/地產/旅館、餐飲
1104,環泥,上市,水泥工業,水泥
1108,幸福,上市,水泥工業,水泥
1109,信大,上市,水泥工業,水泥
1110,東泥,上市,水泥工業,水泥
1201,味全,上市,食品工業,食品加工/飲料相關
1203,味王,上市,食品工業,資產股/食品加工/飲料相關
1210,大成,上市,食品工業,大宗物資/農林漁牧/食品加工
1213,大飲,上市,食品工業,飲料相關
1215,卜蜂,上市,食品工業,農林漁牧/食品加工
1216,統一,上市,食品工業,大宗物資/農林漁牧/食品加工/飲料相關
1217,愛之味,上市,食品工業,食品加工/飲料相關
1218,泰山,上市,食品工業,大宗物資/飲料相關
1219,福壽,上市,食品工業,大宗物資/農林漁牧/食品加工
1220,台榮,上市,食品工業,大宗物資/農林漁牧/食品加工/流通業
1225,福懋油,上市,食品工業,大宗物資/農林漁牧
1227,佳格,上市,食品工業,大宗物資/食品加工
1229,聯華,上市,食品工業,大宗物資/軟體業
1231,聯華食,上市,食品工業,食品加工
1232,大統益,上市,食品工業,大宗物資/食品加工
1233,天仁,上市,食品工業,食品加工/旅館、餐飲
1234,黑松,上市,食品工業,資產股/飲料相關/流通業
1235,興泰,上市,食品工業,農林漁牧
1236,宏亞,上市,食品工業,食品加工
1240,茂生農經,上櫃,農業科技業,農林漁牧
1256,鮮活果汁-KY,上市,食品工業,飲料相關
1258,其祥-KY,上櫃,食品工業,農林漁牧/食品加工
1259,安心,上櫃,觀光事業,旅館、餐飲
1264,德麥,上櫃,食品工業,食品加工/流通業
1268,漢來美食,上櫃,觀光事業,旅館、餐飲
1301,台塑,上市,塑膠工業,石化業/化纖原料/化學工業
1303,南亞,上市,塑膠工業,石化業/化纖原料/化學工業/印刷電路板相關
1304,台聚,上市,塑膠工業,石化業
1305,華夏,上市,塑膠工業,石化業
1307,三芳,上市,塑膠工業,石化業/傳產其他
1308,亞聚,上市,塑膠工業,石化業
1309,台達化,上市,塑膠工業,石化業
1310,台苯,上市,塑膠工業,石化業
1312,國喬,上市,塑膠工業,石化業
1313,聯成,上市,塑膠工業,石化業
1314,中石化,上市,塑膠工業,資產股/化纖原料
1315,達新,上市,塑膠工業,石化業/成衣/資產股/建材
1316,上曜,上市,建材營造業,化學工業/地產
1319,東陽,上市,汽車工業,汽機車零組件
1321,大洋,上市,塑膠工業,石化業/資產股
1323,永裕,上市,塑膠工業,石化業
1324,地球,上市,塑膠工業,化學工業
1325,恆大,上市,塑膠工業,紡織中游
1326,台化,上市,塑膠工業,石化業/化纖原料/化學工業
1336,台翰,上櫃,電子零組件業,電子零件元件
1337,再生-KY,上市,塑膠工業,石化業/傳產其他
1338,廣華-KY,上市,汽車工業,汽車內裝
1339,昭輝,上市,汽車工業,石化業/汽機車零組件
1340,勝悅-KY,上市,塑膠工業,傳產其他
1341,富林-KY,上市,塑膠工業,石化業
1342,八貫,上市,其他業,石化業
1402,遠東新,上市,紡織纖維,成衣/家居用品/控股公司/資產股/化纖原料/紡織中游
1409,新纖,上市,紡織纖維,石化業/資產股/化纖原料
1410,南染,上市,紡織纖維,IC封裝測試/資產股/紡織中游
1413,宏洲,上市,紡織纖維,化纖原料
1414,東和,上市,紡織纖維,資產股/紡織中游/地產
1416,廣豐,上市,其他業,軟體業/資產股/地產
1417,嘉裕,上市,紡織纖維,成衣
1418,東華,上市,紡織纖維,化纖原料
1419,新紡,上市,紡織纖維,成衣/資產股/紡織中游/地產
1423,利華,上市,紡織纖維,資產股/紡織中游
1432,大魯閣,上市,貿易百貨業,休閒娛樂/流通業
1434,福懋,上市,紡織纖維,紡織中游/其他公用事業
1435,中福,上市,其他業,地產
1436,華友聯,上市,建材營造業,地產
1437,勤益控,上市,其他業,成衣/資產股/地產
1438,三地開發,上市,建材營造業,地產
1439,雋揚,上市,紡織纖維,紡織中游
1440,南紡,上市,紡織纖維,資產股/化纖原料/紡織中游
1441,大東,上市,紡織纖維,紡織中游
1442,名軒,上市,建材營造業,地產
1443,立益物流,上市,其他業,運輸事業/地產
1444,力麗,上市,紡織纖維,化纖原料
1445,大宇,上市,紡織纖維,化纖原料/紡織中游
1446,宏和,上市,紡織纖維,資產股/紡織中游/地產
1447,力鵬,上市,紡織纖維,化纖原料/紡織中游
1449,佳和,上市,紡織纖維,紡織中游
1451,年興,上市,紡織纖維,成衣/紡織中游
1452,宏益,上市,紡織纖維,化纖原料
1453,大將,上市,建材營造業,地產
1454,台富,上市,紡織纖維,化纖原料/紡織中游
1455,集盛,上市,紡織纖維,化纖原料
1456,怡華,上市,建材營造業,紡織中游/地產
1457,宜進,上市,紡織纖維,資產股/化纖原料/紡織中游
1459,聯發,上市,紡織纖維,化纖原料
1460,宏遠,上市,紡織纖維,紡織中游
1463,強盛,上市,紡織纖維,紡織中游
1464,得力,上市,紡織纖維,紡織中游
1465,偉全,上市,紡織纖維,紡織中游
1466,聚隆,上市,紡織纖維,化纖原料
1467,南緯,上市,紡織纖維,成衣/資產股/紡織中游
1468,昶和,上市,紡織纖維,紡織中游
1470,大統新創,上市,紡織纖維,紡織中游
1471,首利,上市,電子零組件業,電子零件元件/通訊設備
1472,三洋實業,上市,紡織纖維,營造工程
1473,台南,上市,紡織纖維,成衣
1474,弘裕,上市,紡織纖維,紡織中游
1475,業旺,上市,紡織纖維,化學工業
1476,儒鴻,上市,紡織纖維,成衣/紡織中游
1477,聚陽,上市,紡織纖維,成衣
1503,士電,上市,電機機械,汽機車零組件/資產股/電力設備/設備儀器廠商
1504,東元,上市,電機機械,機械/家電/顯示器/資產股/電力設備
1506,正道,上市,電機機械,汽機車零組件/車用金屬成型
1512,瑞利,上市,汽車工業,汽機車零組件
