date,stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,Foreign_Investor_Buy,Foreign_Investor_Sell,Investment_Trust_Buy,Investment_Trust_Sell,Dealer_Self_Buy,Dealer_Self_Sell,Dealer_Hedging_Buy,Dealer_Hedging_Sell
2021-01-04,0050,205000,0,19000,0,186000,236375000,36308000,522000,0,0,36830000,1712856,0,272901.0,908290.0,272901.0,908290.0,272901.0,908290.0,272901.0,908290.0
2021-01-05,0050,186000,0,0,0,186000,236375000,36830000,133000,0,0,36963000,1704480,0,239870.0,418262.0,239870.0,418262.0,239870.0,418262.0,239870.0,418262.0
2021-01-06,0050,186000,0,4000,0,182000,236375000,36963000,544000,0,0,37507000,1751261,0,1092981.0,2452330.0,1092981.0,2452330.0,1092981.0,2452330.0,1092981.0,2452330.0
2021-01-07,0050,182000,0,3000,0,179000,236000000,37507000,7000,1094000,0,36420000,1778054,0,211273.0,1571200.0,211273.0,1571200.0,211273.0,1571200.0,211273.0,1571200.0
2021-01-08,0050,179000,0,7000,0,172000,230500000,36420000,0,0,0,36420000,1885427,0,34699.0,7360000.0,34699.0,7360000.0,34699.0,7360000.0,34699.0,7360000.0
2021-01-11,0050,172000,2000,4000,0,170000,231750000,36420000,212000,420000,0,36212000,1937055,0,1037889.0,2809000.0,1037889.0,2809000.0,1037889.0,2809000.0,1037889.0,2809000.0
2021-01-12,0050,170000,1000,13000,0,158000,231375000,36212000,88000,806000,0,35494000,1953587,0,212645.0,1866292.0,212645.0,1866292.0,212645.0,1866292.0,212645.0,1866292.0
2021-01-13,0050,158000,0,3000,0,155000,231375000,35494000,1716000,25000,0,37185000,2011743,0,659031.0,1981050.0,659031.0,1981050.0,659031.0,1981050.0,659031.0,1981050.0
2021-01-14,0050,155000,1000,33000,0,123000,229375000,37185000,326000,248000,0,37263000,2074326,0,192447.0,7080020.0,192447.0,7080020.0,192447.0,7080020.0,192447.0,7080020.0
2021-01-15,0050,123000,10000,46000,0,87000,229375000,37263000,20000,2224000,0,35059000,2233884,0,420817.0,9008000.0,420817.0,9008000.0,420817.0,9008000.0,420817.0,9008000.0
2021-01-18,0050,87000,0,61000,20000,6000,230125000,35059000,35000,1342000,0,33752000,2255322,0,569641.0,5841285.0,569641.0,5841285.0,569641.0,5841285.0,569641.0,5841285.0
2021-01-19,0050,6000,0,0,6000,0,223875000,33752000,0,3575000,0,30177000,2309349,0,255300.0,4670000.0,255300.0,4670000.0,255300.0,4670000.0,255300.0,4670000.0
2021-01-20,0050,0,0,0,0,0,218125000,30177000,213000,293000,0,30097000,2549002,0,15691525.0,14356000.0,15691525.0,14356000.0,15691525.0,14356000.0,15691525.0,14356000.0
2021-01-21,0050,0,0,0,0,0,216250000,30097000,0,4478000,0,25619000,2626274,0,1437990.0,2080000.0,1437990.0,2080000.0,1437990.0,2080000.0,1437990.0,2080000.0
2021-01-22,0050,0,14000,0,0,14000,217750000,25619000,0,0,0,25619000,2789236,0,1013920.0,6257280.0,1013920.0,6257280.0,1013920.0,6257280.0,1013920.0,6257280.0
2021-01-25,0050,14000,42000,0,0,56000,218875000,25619000,0,90000,0,25529000,2883836,0,1610855.0,5299282.0,1610855.0,5299282.0,1610855.0,5299282.0,1610855.0,5299282.0
2021-01-26,0050,56000,14000,4000,0,66000,218875000,25529000,136000,400000,0,25265000,3009836,0,907569.0,5247687.0,907569.0,5247687.0,907569.0,5247687.0,907569.0,5247687.0
2021-01-27,0050,66000,30000,12000,0,84000,221000000,25265000,287000,0,0,25552000,2994429,0,1744521.0,1507405.0,1744521.0,1507405.0,1744521.0,1507405.0,1744521.0,1507405.0
2021-01-28,0050,84000,14000,11000,0,87000,221000000,25552000,80000,0,0,25632000,3013024,0,1638192.0,6403144.0,1638192.0,6403144.0,1638192.0,6403144.0,1638192.0,6403144.0
2021-01-29,0050,87000,31000,12000,0,106000,226250000,25632000,80000,0,0,25712000,3130107,0,1130567.0,6230533.0,1130567.0,6230533.0,1130567.0,6230533.0,1130567.0,6230533.0
2021-02-01,0050,106000,12000,4000,0,114000,226250000,25712000,70000,176000,0,25606000,3249356,0,1107641.0,2521976.0,1107641.0,2521976.0,1107641.0,2521976.0,1107641.0,2521976.0
2021-02-02,0050,114000,20000,18000,0,116000,226250000,25606000,13000,143000,0,25476000,3317281,0,1046802.0,588338.0,1046802.0,588338.0,1046802.0,588338.0,1046802.0,588338.0
2021-02-03,0050,116000,2000,4000,0,114000,226250000,25476000,150000,182000,0,25444000,3331962,0,772209.0,515844.0,772209.0,515844.0,772209.0,515844.0,772209.0,515844.0
2021-02-04,0050,114000,9000,3000,11000,109000,226250000,25444000,93000,2000,0,25535000,3357327,0,847225.0,625480.0,847225.0,625480.0,847225.0,625480.0,847225.0,625480.0
2021-02-05,0050,109000,7000,1000,0,115000,226250000,25535000,81000,2020000,0,23596000,3423504,0,1320061.0,1078270.0,1320061.0,1078270.0,1320061.0,1078270.0,1320061.0,1078270.0
2021-02-17,0050,115000,12000,15000,0,112000,226250000,23596000,220000,0,0,23816000,3587802,0,2717659.0,1689029.0,2717659.0,1689029.0,2717659.0,1689029.0,2717659.0,1689029.0
2021-02-18,0050,112000,5000,15000,0,102000,227500000,23816000,30000,352000,0,23494000,3660894,0,855998.0,1115205.0,855998.0,1115205.0,855998.0,1115205.0,855998.0,1115205.0
2021-02-19,0050,102000,3000,3000,0,102000,227500000,23494000,40000,553000,0,22981000,3722400,0,527901.0,3421692.0,527901.0,3421692.0,527901.0,3421692.0,527901.0,3421692.0
2021-02-22,0050,102000,12000,5000,0,109000,226250000,22981000,140000,1000,0,23120000,3738944,0,618842.0,556958.0,618842.0,556958.0,618842.0,556958.0,618842.0,556958.0
2021-02-23,0050,109000,24000,11000,0,122000,226250000,23120000,10000,3000,0,23127000,3760753,0,314533.0,1805890.0,314533.0,1805890.0,314533.0,1805890.0,314533.0,1805890.0
2021-02-24,0050,122000,7000,13000,0,116000,226250000,23127000,160000,2000,0,23285000,3809949,0,1367265.0,2938890.0,1367265.0,2938890.0,1367265.0,2938890.0,1367265.0,2938890.0
2021-02-25,0050,116000,0,13000,0,103000,226250000,23285000,140000,0,0,23425000,3864008,0,6495175.0,714553.0,6495175.0,714553.0,6495175.0,714553.0,6495175.0,714553.0
2021-02-26,0050,103000,1000,26000,0,78000,232375000,23425000,70000,0,0,23495000,4032670,0,238490.0,18626796.0,238490.0,18626796.0,238490.0,18626796.0,238490.0,18626796.0
2021-03-02,0050,78000,17000,2000,0,93000,231625000,23495000,518000,0,0,24013000,4039050,0,332233.0,1878000.0,332233.0,1878000.0,332233.0,1878000.0,332233.0,1878000.0
2021-03-03,0050,93000,5000,13000,0,85000,232250000,24013000,40000,0,0,24053000,3992033,0,1614440.0,1251252.0,1614440.0,1251252.0,1614440.0,1251252.0,1614440.0,1251252.0
2021-03-04,0050,85000,18000,4000,0,99000,234875000,24053000,50000,2000,0,24101000,4063518,0,564686.0,10844292.0,564686.0,10844292.0,564686.0,10844292.0,564686.0,10844292.0
2021-03-05,0050,99000,18000,14000,0,103000,235875000,24101000,10000,24000,0,24087000,4098501,0,850829.0,5611102.0,850829.0,5611102.0,850829.0,5611102.0,850829.0,5611102.0
2021-03-08,0050,103000,35000,2000,3000,133000,237875000,24087000,0,181000,0,23906000,4113625,0,190584.0,3639663.0,190584.0,3639663.0,190584.0,3639663.0,190584.0,3639663.0
2021-03-09,0050,133000,5000,6000,0,132000,239375000,23906000,0,0,0,23906000,4127279,0,1373365.0,7960344.0,1373365.0,7960344.0,1373365.0,7960344.0,1373365.0,7960344.0
2021-03-10,0050,132000,8000,16000,0,124000,243625000,23906000,2000,0,0,23908000,3964037,0,145119.0,1625225.0,145119.0,1625225.0,145119.0,1625225.0,145119.0,1625225.0
2021-03-11,0050,124000,3000,15000,0,112000,243625000,23908000,0,0,0,23908000,3912518,0,1527875.0,1317000.0,1527875.0,1317000.0,1527875.0,1317000.0,1527875.0,1317000.0
2021-03-12,0050,112000,17000,10000,0,119000,243625000,23908000,0,300000,0,23608000,3846905,0,489125.0,327007.0,489125.0,327007.0,489125.0,327007.0,489125.0,327007.0
2021-03-15,0050,119000,3000,3000,0,119000,243375000,23608000,0,0,0,23608000,3581754,0,101691.0,546118.0,101691.0,546118.0,101691.0,546118.0,101691.0,546118.0
2021-03-16,0050,119000,12000,10000,0,121000,243375000,23608000,0,50000,0,23558000,3510140,0,2083710.0,484005.0,2083710.0,484005.0,2083710.0,484005.0,2083710.0,484005.0
2021-03-17,0050,121000,14000,1000,0,134000,243500000,23558000,26000,450000,0,23134000,3332232,0,396822.0,2265000.0,396822.0,2265000.0,396822.0,2265000.0,396822.0,2265000.0
2021-03-18,0050,134000,3000,6000,0,131000,243500000,23134000,0,210000,0,22924000,3260155,0,2014193.0,412200.0,2014193.0,412200.0,2014193.0,412200.0,2014193.0,412200.0
2021-03-19,0050,131000,6000,26000,0,111000,243500000,22924000,110000,100000,0,22934000,3216273,0,273366.0,6324679.0,273366.0,6324679.0,273366.0,6324679.0,273366.0,6324679.0
