date,stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,Foreign_Investor_Buy,Foreign_Investor_Sell,Investment_Trust_Buy,Investment_Trust_Sell,Dealer_Self_Buy,Dealer_Self_Sell,Dealer_Hedging_Buy,Dealer_Hedging_Sell
2021-01-04,00878,3000,3000,0,0,6000,254822500,210000,0,0,0,210000,3627382,0,170600.0,362020.0,170600.0,362020.0,170600.0,362020.0,170600.0,362020.0
2021-01-05,00878,6000,0,0,0,6000,253322500,210000,0,0,0,210000,3486600,0,62000.0,93000.0,62000.0,93000.0,62000.0,93000.0,62000.0,93000.0
2021-01-06,00878,6000,0,0,0,6000,250947500,210000,0,0,0,210000,3471248,0,159000.0,240000.0,159000.0,240000.0,159000.0,240000.0,159000.0,240000.0
2021-01-07,00878,6000,0,3000,0,3000,249197500,210000,0,0,0,210000,3462285,0,155000.0,0.0,155000.0,0.0,155000.0,0.0,155000.0,0.0
2021-01-08,00878,3000,0,0,0,3000,246697500,210000,0,0,0,210000,3497368,0,590000.0,64000.0,590000.0,64000.0,590000.0,64000.0,590000.0,64000.0
2021-01-11,00878,3000,32000,0,0,35000,243822500,210000,0,0,0,210000,3446860,0,22200.0,406000.0,22200.0,406000.0,22200.0,406000.0,22200.0,406000.0
2021-01-12,00878,35000,0,30000,0,5000,242447500,210000,0,0,0,210000,3392052,0,64000.0,115000.0,64000.0,115000.0,64000.0,115000.0,64000.0,115000.0
2021-01-13,00878,5000,0,0,0,5000,241322500,210000,0,0,0,210000,3387965,0,779200.0,29000.0,779200.0,29000.0,779200.0,29000.0,779200.0,29000.0
2021-01-14,00878,5000,0,1000,0,4000,240197500,210000,0,0,0,210000,3296695,0,0.0,3000.0,0.0,3000.0,0.0,3000.0,0.0,3000.0
2021-01-15,00878,4000,0,0,0,4000,239572500,210000,0,0,0,210000,3258539,0,198000.0,869000.0,198000.0,869000.0,198000.0,869000.0,198000.0,869000.0
2021-01-18,00878,4000,3000,0,0,7000,239322500,210000,0,0,0,210000,3228588,0,558200.0,464000.0,558200.0,464000.0,558200.0,464000.0,558200.0,464000.0
2021-01-19,00878,7000,0,4000,0,3000,239322500,210000,0,0,0,210000,3105187,0,349000.0,122000.0,349000.0,122000.0,349000.0,122000.0,349000.0,122000.0
2021-01-20,00878,3000,1000,0,0,4000,239197500,210000,0,0,0,210000,3050889,0,173277.0,1400000.0,173277.0,1400000.0,173277.0,1400000.0,173277.0,1400000.0
2021-01-21,00878,4000,0,2000,0,2000,239197500,210000,0,0,0,210000,3008676,0,1123400.0,79000.0,1123400.0,79000.0,1123400.0,79000.0,1123400.0,79000.0
2021-01-22,00878,2000,2000,0,0,4000,237822500,210000,0,0,0,210000,2925598,0,1474000.0,63000.0,1474000.0,63000.0,1474000.0,63000.0,1474000.0,63000.0
2021-01-25,00878,4000,0,0,0,4000,236947500,210000,0,0,0,210000,2897291,0,2449200.0,276500.0,2449200.0,276500.0,2449200.0,276500.0,2449200.0,276500.0
2021-01-26,00878,4000,0,0,0,4000,236822500,210000,0,0,0,210000,2872418,0,29550.0,867000.0,29550.0,867000.0,29550.0,867000.0,29550.0,867000.0
2021-01-27,00878,4000,0,0,0,4000,236197500,210000,0,0,0,210000,2886582,0,3633000.0,39000.0,3633000.0,39000.0,3633000.0,39000.0,3633000.0,39000.0
2021-01-28,00878,4000,0,0,0,4000,234697500,210000,0,0,0,210000,2870321,0,794000.0,318000.0,794000.0,318000.0,794000.0,318000.0,794000.0,318000.0
2021-01-29,00878,4000,0,0,0,4000,234697500,210000,0,0,0,210000,2869915,0,212000.0,632599.0,212000.0,632599.0,212000.0,632599.0,212000.0,632599.0
2021-02-01,00878,4000,0,3000,0,1000,234697500,210000,0,0,0,210000,2890046,0,2160000.0,427000.0,2160000.0,427000.0,2160000.0,427000.0,2160000.0,427000.0
2021-02-02,00878,1000,0,1000,0,0,234322500,210000,0,0,0,210000,2888433,0,295000.0,146500.0,295000.0,146500.0,295000.0,146500.0,295000.0,146500.0
2021-02-03,00878,0,0,0,0,0,233322500,210000,0,0,0,210000,2858289,0,57000.0,71000.0,57000.0,71000.0,57000.0,71000.0,57000.0,71000.0
2021-02-04,00878,0,0,0,0,0,233322500,210000,0,0,0,210000,2825678,0,89000.0,223000.0,89000.0,223000.0,89000.0,223000.0,89000.0,223000.0
2021-02-05,00878,0,0,0,0,0,233322500,210000,0,0,0,210000,2871194,0,53001.0,2754000.0,53001.0,2754000.0,53001.0,2754000.0,53001.0,2754000.0
2021-02-17,00878,0,0,0,0,0,233322500,210000,0,0,0,210000,2900300,0,1545101.0,40200.0,1545101.0,40200.0,1545101.0,40200.0,1545101.0,40200.0
2021-02-18,00878,0,0,0,0,0,233322500,210000,0,0,0,210000,2795515,0,112000.0,6100.0,112000.0,6100.0,112000.0,6100.0,112000.0,6100.0
2021-02-19,00878,0,0,0,0,0,233572500,210000,0,0,0,210000,2831903,0,979000.0,5000.0,979000.0,5000.0,979000.0,5000.0,979000.0,5000.0
2021-02-22,00878,0,0,0,0,0,235072500,210000,0,0,0,210000,2792533,0,1540374.0,452000.0,1540374.0,452000.0,1540374.0,452000.0,1540374.0,452000.0
2021-02-23,00878,0,0,0,0,0,235322500,210000,0,0,0,210000,2827239,0,1263000.0,16000.0,1263000.0,16000.0,1263000.0,16000.0,1263000.0,16000.0
2021-02-24,00878,0,0,0,0,0,235322500,210000,0,0,0,210000,2873476,0,1298000.0,76000.0,1298000.0,76000.0,1298000.0,76000.0,1298000.0,76000.0
2021-02-25,00878,0,0,0,0,0,235322500,210000,0,0,0,210000,2806327,0,16000.0,488000.0,16000.0,488000.0,16000.0,488000.0,16000.0,488000.0
2021-02-26,00878,0,0,0,0,0,235822500,210000,0,0,0,210000,2815569,0,34100.0,4611300.0,34100.0,4611300.0,34100.0,4611300.0,34100.0,4611300.0
2021-03-02,00878,0,0,0,0,0,237197500,210000,0,0,0,210000,2757227,0,87080.0,571000.0,87080.0,571000.0,87080.0,571000.0,87080.0,571000.0
2021-03-03,00878,0,0,0,0,0,238197500,210000,0,0,0,210000,2649663,0,513150.0,135000.0,513150.0,135000.0,513150.0,135000.0,513150.0,135000.0
2021-03-04,00878,0,0,0,0,0,238572500,210000,35000,0,0,245000,2655793,0,5200.0,900000.0,5200.0,900000.0,5200.0,900000.0,5200.0,900000.0
2021-03-05,00878,0,0,0,0,0,239322500,245000,95000,0,0,340000,2634311,0,4100.0,199000.0,4100.0,199000.0,4100.0,199000.0,4100.0,199000.0
2021-03-08,00878,0,0,0,0,0,240447500,340000,100000,0,0,440000,2570298,0,369000.0,103000.0,369000.0,103000.0,369000.0,103000.0,369000.0,103000.0
2021-03-09,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2538342,0,1084200.0,69000.0,1084200.0,69000.0,1084200.0,69000.0,1084200.0,69000.0
2021-03-10,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2462895,0,5200.0,4000.0,5200.0,4000.0,5200.0,4000.0,5200.0,4000.0
2021-03-11,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2419725,0,2053060.0,60300.0,2053060.0,60300.0,2053060.0,60300.0,2053060.0,60300.0
2021-03-12,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2426981,0,883253.0,15000.0,883253.0,15000.0,883253.0,15000.0,883253.0,15000.0
2021-03-15,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2350581,0,324000.0,22000.0,324000.0,22000.0,324000.0,22000.0,324000.0,22000.0
2021-03-16,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2314476,0,101000.0,14000.0,101000.0,14000.0,101000.0,14000.0,101000.0,14000.0
2021-03-17,00878,0,0,0,0,0,240822500,440000,0,0,0,440000,2291161,0,246000.0,5000.0,246000.0,5000.0,246000.0,5000.0,246000.0,5000.0
2021-03-18,00878,0,0,0,0,0,240447500,440000,0,0,0,440000,2268323,0,1600124.0,4000.0,1600124.0,4000.0,1600124.0,4000.0,1600124.0,4000.0
2021-03-19,00878,0,0,0,0,0,240447500,440000,37000,0,0,477000,2247637,0,29000.0,454000.0,29000.0,454000.0,29000.0,454000.0,29000.0,454000.0
2021-03-22,00878,0,0,0,0,0,240447500,477000,0,0,0,477000,2162241,0,151168.0,5201.0,151168.0,5201.0,151168.0,5201.0,151168.0,5201.0
2021-03-23,00878,0,0,0,0,0,240322500,477000,0,0,0,477000,2116197,0,6000.0,4000.0,6000.0,4000.0,6000.0,4000.0,6000.0,4000.0
2021-03-24,00878,0,0,0,0,0,240072500,477000,0,0,0,477000,2079596,0,221000.0,23000.0,221000.0,23000.0,221000.0,23000.0,221000.0,23000.0
2021-03-25,00878,0,0,0,0,0,239697500,477000,67000,0,0,544000,2044353,0,340278.0,5000.0,340278.0,5000.0,340278.0,5000.0,340278.0,5000.0
2021-03-26,00878,0,0,0,0,0,239697500,544000,0,0,0,544000,2045123,0,65000.0,4000.0,65000.0,4000.0,65000.0,4000.0,65000.0,4000.0
2021-03-29,00878,0,0,0,0,0,238822500,544000,0,0,0,544000,2067505,0,96040.0,94000.0,96040.0,94000.0,96040.0,94000.0,96040.0,94000.0
2021-03-30,00878,0,0,0,0,0,238822500,544000,0,0,0,544000,2116911,0,4000.0,936000.0,4000.0,936000.0,4000.0,936000.0,4000.0,936000.0
2021-03-31,00878,0,0,0,0,0,240572500,544000,0,0,0,544000,2107890,0,7081.0,1148000.0,7081.0,1148000.0,7081.0,1148000.0,7081.0,1148000.0
2021-04-01,00878,0,0,0,0,0,240572500,544000,0,0,0,544000,2070927,0,35200.0,31000.0,35200.0,31000.0,35200.0,31000.0,35200.0,31000.0
2021-04-06,00878,0,0,0,0,0,240572500,544000,0,0,0,544000,2057787,0,15600.0,513000.0,15600.0,513000.0,15600.0,513000.0,15600.0,513000.0
2021-04-07,00878,0,0,0,0,0,240947500,544000,0,0,0,544000,2011755,0,50000.0,463000.0,50000.0,463000.0,50000.0,463000.0,50000.0,463000.0
2021-04-08,00878,0,0,0,0,0,242572500,544000,0,0,0,544000,1968026,0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0
2021-04-09,00878,0,0,0,0,0,244322500,544000,0,0,0,544000,1934085,0,8100.0,178000.0,8100.0,178000.0,8100.0,178000.0,8100.0,178000.0
2021-04-12,00878,0,0,0,0,0,244322500,544000,0,0,0,544000,1825534,0,126000.0,16000.0,126000.0,16000.0,126000.0,16000.0,126000.0,16000.0
2021-04-13,00878,0,0,0,0,0,244322500,544000,0,0,0,544000,1817840,0,440000.0,3000.0,440000.0,3000.0,440000.0,3000.0,440000.0,3000.0
2021-04-14,00878,0,0,0,0,0,245697500,544000,0,0,0,544000,1790108,0,145100.0,123000.0,145100.0,123000.0,145100.0,123000.0,145100.0,123000.0
