date,stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering,Foreign_Investor_Buy,Foreign_Investor_Sell,Investment_Trust_Buy,Investment_Trust_Sell,Dealer_Self_Buy,Dealer_Self_Sell,Dealer_Hedging_Buy,Dealer_Hedging_Sell
2021-01-04,2330,591000,100000,46000,4000,641000,-2107339478,25079549,388000,0,0,25467549,12367178,0,23470657.0,11007351.0,23470657.0,11007351.0,23470657.0,11007351.0,23470657.0,11007351.0
2021-01-05,2330,641000,71000,28000,0,684000,-2107339478,25467549,408000,0,0,25875549,12278488,0,21259474.0,18243070.0,21259474.0,18243070.0,21259474.0,18243070.0,21259474.0,18243070.0
2021-01-06,2330,684000,231000,28000,0,887000,-2107339478,25875549,1452000,54000,0,27273549,12448332,0,27716986.0,22567319.0,27716986.0,22567319.0,27716986.0,22567319.0,27716986.0,22567319.0
2021-01-07,2330,887000,179000,54000,1000,1011000,-2107339478,27273549,478000,121000,0,27630549,12510463,0,24724694.0,23225315.0,24724694.0,23225315.0,24724694.0,23225315.0,24724694.0,23225315.0
2021-01-08,2330,1011000,171000,153000,1000,1028000,-2107339478,27630549,1939000,5000,0,29564549,12821592,0,31558099.0,31244858.0,31558099.0,31244858.0,31558099.0,31244858.0,31558099.0,31244858.0
2021-01-11,2330,1028000,66000,95000,0,999000,-2107339478,29564549,1277000,940000,0,29901549,12997341,0,24509451.0,31676405.0,24509451.0,31676405.0,24509451.0,31676405.0,24509451.0,31676405.0
2021-01-12,2330,999000,127000,87000,2000,1037000,-2107339478,29901549,229000,955000,0,29175549,12030275,0,17582889.0,26215909.0,17582889.0,26215909.0,17582889.0,26215909.0,17582889.0,26215909.0
2021-01-13,2330,1037000,141000,94000,0,1084000,-2107339478,29175549,83000,2000,0,29256549,12403939,0,43111056.0,50404601.0,43111056.0,50404601.0,43111056.0,50404601.0,43111056.0,50404601.0
2021-01-14,2330,1084000,109000,153000,1000,1039000,-2107339478,29256549,241000,198000,0,29299549,12704956,0,29812664.0,61064697.0,29812664.0,61064697.0,29812664.0,61064697.0,29812664.0,61064697.0
2021-01-15,2330,1039000,175000,126000,0,1088000,-2107339478,29299549,185000,1301000,0,28183549,13345742,0,49815093.0,41645018.0,49815093.0,41645018.0,49815093.0,41645018.0,49815093.0,41645018.0
2021-01-18,2330,1088000,193000,133000,1000,1147000,-2107339478,28183549,79000,229000,0,28033549,13304918,0,21751751.0,24496257.0,21751751.0,24496257.0,21751751.0,24496257.0,21751751.0,24496257.0
2021-01-19,2330,1147000,199000,205000,0,1141000,-2107339478,28033549,36000,170000,0,27899549,13379457,0,23261026.0,18048877.0,23261026.0,18048877.0,23261026.0,18048877.0,23261026.0,18048877.0
2021-01-20,2330,1141000,386000,64000,0,1463000,-2107339478,27899549,372000,1665000,0,26606549,13915999,0,48521812.0,53977020.0,48521812.0,53977020.0,48521812.0,53977020.0,48521812.0,53977020.0
2021-01-21,2330,1463000,460000,275000,0,1648000,-2107339478,26606549,322000,807000,0,26121549,14423586,0,30692276.0,48606881.0,30692276.0,48606881.0,30692276.0,48606881.0,30692276.0,48606881.0
2021-01-22,2330,1648000,38000,495000,1000,1190000,-2107339478,26121549,522000,525000,0,26118549,15326058,0,20293027.0,81376781.0,20293027.0,81376781.0,20293027.0,81376781.0,20293027.0,81376781.0
2021-01-25,2330,1190000,108000,300000,3000,995000,-2107339478,26118549,92000,645000,0,25565549,15799174,0,22873490.0,50456961.0,22873490.0,50456961.0,22873490.0,50456961.0,22873490.0,50456961.0
2021-01-26,2330,995000,75000,162000,0,908000,-2107339478,25565549,529000,531000,0,25563549,16639053,0,41147162.0,56315341.0,41147162.0,56315341.0,41147162.0,56315341.0,41147162.0,56315341.0
2021-01-27,2330,908000,113000,60000,2000,959000,-2107339478,25563549,155000,22000,0,25696549,16936691,0,33637574.0,40251018.0,33637574.0,40251018.0,33637574.0,40251018.0,33637574.0,40251018.0
2021-01-28,2330,959000,102000,239000,0,822000,-2107339478,25696549,206000,404000,0,25498549,17441893,0,35278955.0,54873943.0,35278955.0,54873943.0,35278955.0,54873943.0,35278955.0,54873943.0
2021-01-29,2330,822000,79000,125000,1000,775000,-2107339478,25498549,1918000,353000,0,27063549,18017794,0,42681652.0,60166783.0,42681652.0,60166783.0,42681652.0,60166783.0,42681652.0,60166783.0
