date,stock_id,country,revenue,revenue_month,revenue_year
2020-02-01,2330,Taiwan,103683135000,1,2020
2020-03-01,2330,Taiwan,93394449000,2,2020
2020-04-01,2330,Taiwan,113519599000,3,2020
2020-05-01,2330,Taiwan,96001572000,4,2020
2020-06-01,2330,Taiwan,93819010000,5,2020
2020-07-01,2330,Taiwan,120877785000,6,2020
2020-08-01,2330,Taiwan,105963468000,7,2020
2020-09-01,2330,Taiwan,122878244000,8,2020
2020-10-01,2330,Taiwan,127584492000,9,2020
2020-11-01,2330,Taiwan,119302707000,10,2020
2020-12-01,2330,Taiwan,124865438000,11,2020
2021-01-01,2330,Taiwan,117364912000,12,2020
2021-02-01,2330,Taiwan,126749152000,1,2021
2021-03-01,2330,Taiwan,106533690000,2,2021
2021-04-01,2330,Taiwan,129127388000,3,2021
2021-05-01,2330,Taiwan,111314794000,4,2021
2021-06-01,2330,Taiwan,112359668000,5,2021
2021-07-01,2330,Taiwan,148470660000,6,2021
2021-08-01,2330,Taiwan,124557799000,7,2021
2021-09-01,2330,Taiwan,137427162000,8,2021
2021-10-01,2330,Taiwan,152685418000,9,2021
2021-11-01,2330,Taiwan,134539477000,10,2021
2021-12-01,2330,Taiwan,148267599000,11,2021
2022-01-01,2330,Taiwan,155382230000,12,2021
2022-02-01,2330,Taiwan,172176110000,1,2022
2022-03-01,2330,Taiwan,146933238000,2,2022
2022-04-01,2330,Taiwan,171966525000,3,2022
2022-05-01,2330,Taiwan,172561382000,4,2022
2022-06-01,2330,Taiwan,185705425000,5,2022
2022-07-01,2330,Taiwan,175874001000,6,2022
2022-08-01,2330,Taiwan,186762689000,7,2022
2022-09-01,2330,Taiwan,218132391000,8,2022
2022-10-01,2330,Taiwan,208247663000,9,2022
2022-11-01,2330,Taiwan,210265633000,10,2022
2022-12-01,2330,Taiwan,222705993000,11,2022
2023-01-01,2330,Taiwan,192560242000,12,2022
2023-02-01,2330,Taiwan,200050544000,1,2023
2023-03-01,2330,Taiwan,163174097000,2,2023
