date,stock_id,Volume,Trading_money,Open,High,Low,Close,spread,Trading_turnover,slowk,slowd,5MA,10MA,20MA,RSI,macd,macdsignal,macdhist,upperband,middleband,lowerband
2021-01-04,00878,11126390,179926060,16.1,16.23,16.1,16.2,0.06,3335,,,,,,,,,,,,
2021-01-05,00878,14425860,233368627,16.2,16.22,16.11,16.21,0.01,3543,,,,,,,,,,,,
2021-01-06,00878,14275667,231253968,16.24,16.31,16.02,16.1,-0.11,4763,,,,,,,,,,,,
2021-01-07,00878,11841085,192138088,16.18,16.26,16.17,16.24,0.14,2954,,,,,,,,,,,,
2021-01-08,00878,15364332,251962168,16.32,16.5,16.3,16.5,0.26,4674,,,16.25,,,,,,,,,
2021-01-11,00878,9055391,150511058,16.57,16.68,16.57,16.67,0.17,3472,,,16.344,,,,,,,,,
2021-01-12,00878,8824506,146538812,16.69,16.73,16.51,16.56,-0.11,3583,,,16.413999999999998,,,,,,,,,
2021-01-13,00878,11392667,191179889,16.59,16.89,16.59,16.87,0.31,3646,,,16.568,,,,,,,,,
2021-01-14,00878,8253242,140009598,16.87,17.03,16.84,17.0,0.13,3226,,,16.720000000000002,,,,,,,,,
2021-01-15,00878,10187961,172877468,17.07,17.15,16.84,16.87,-0.13,4871,,,16.794000000000004,16.522,,,,,,,,
2021-01-18,00878,10862090,180601782,16.86,16.86,16.43,16.7,-0.17,4918,,,16.800000000000004,16.572,,,,,,,,
2021-01-19,00878,5758154,96569507,16.72,16.8,16.72,16.76,0.06,2484,,,16.840000000000003,16.627,,,,,,,,
2021-01-20,00878,12923709,213565080,16.76,16.78,16.35,16.4,-0.36,6534,44.04859288848284,62.24178038282114,16.746000000000002,16.657,,,,,,,,
2021-01-21,00878,9132694,150883477,16.44,16.6,16.44,16.5,0.1,3254,30.2395958383353,46.49631976684483,16.646000000000004,16.683,,,,,,,,
2021-01-22,00878,7729084,128163475,16.5,16.69,16.48,16.65,0.15,2975,22.67156862745081,32.31991911808964,16.602000000000004,16.698,,60.18099547511305,,,,,,
2021-01-25,00878,10284111,172216092,16.66,16.86,16.63,16.84,0.19,3314,39.16666666666657,30.692610377484225,16.630000000000003,16.715,,63.55527237973872,,,,,,
2021-01-26,00878,6867553,115198680,16.86,16.91,16.63,16.68,-0.16,3779,46.66666666666659,36.168300653594656,16.614000000000004,16.727,,59.019639077896336,,,,,,
2021-01-27,00878,12612291,211915319,16.7,16.88,16.7,16.81,0.13,3389,53.333333333333286,46.38888888888882,16.696000000000005,16.721,,61.428234840533705,,,,,,
2021-01-28,00878,7877486,131015648,16.63,16.76,16.55,16.62,-0.19,3377,48.988095238095205,49.66269841269837,16.720000000000006,16.683,,56.226764084994386,,,,,,
2021-01-29,00878,7095032,117194409,16.67,16.71,16.36,16.36,-0.26,3519,35.83333333333321,46.05158730158723,16.662000000000003,16.631999999999998,16.577,49.98889708843808,,,,17.078521684476375,16.577,16.07547831552363
2021-02-01,00878,7702951,126014614,16.3,16.45,16.25,16.45,0.09,2730,26.767676767676647,37.19636844636835,16.584000000000003,16.607,16.5895,51.97505485450743,,,,17.064577888350794,16.5895,16.11442211164921
2021-02-02,00878,5123577,85208644,16.51,16.68,16.5,16.61,0.16,2126,28.87806637806621,30.493025493025357,16.57,16.592000000000002,16.609500000000004,55.36857346512617,,,,17.051516967999593,16.609500000000004,16.167483032000415
2021-02-03,00878,4062340,67703158,16.68,16.7,16.61,16.67,0.06,1816,49.49494949494953,35.04689754689746,16.542,16.619,16.638,56.606857882089514,,,,17.013425092395263,16.638,16.26257490760474
2021-02-04,00878,3100784,51566774,16.67,16.68,16.57,16.62,-0.05,1758,58.0808080808082,45.484607984607976,16.542,16.631,16.657000000000004,55.231641529932276,,,,16.985456998706923,16.657000000000004,16.328543001293085
2021-02-05,00878,11321405,189232427,16.7,16.78,16.68,16.74,0.12,4186,64.64646464646471,57.407407407407476,16.618000000000002,16.64,16.669000000000004,57.87661412404266,,,,16.991111781839045,16.669000000000004,16.346888218160963
2021-02-17,00878,9017762,152551705,16.89,17.0,16.8,16.93,0.19,4481,73.65656565656563,65.4612794612795,16.714,16.649,16.682000000000002,61.73179804238493,,,,17.023619671564447,16.682000000000002,16.340380328435558
2021-02-18,00878,7525056,127853894,16.95,17.05,16.93,16.99,0.06,2933,85.80303030303014,74.70202020202015,16.79,16.68,16.703500000000002,62.8869285648198,,,,17.065233327189613,16.703500000000002,16.34176667281039
2021-02-19,00878,10205723,173354862,17.0,17.06,16.93,17.05,0.06,4109,93.97736625514403,84.47898740491325,16.865999999999996,16.704,16.712500000000002,64.05538238684227,,,,17.098498704660763,16.712500000000002,16.32650129533924
2021-02-22,00878,8812386,151794807,17.08,17.29,17.08,17.25,0.2,3226,95.8064260842039,91.862274214126,16.991999999999997,16.767000000000003,16.725,67.70527189260436,,,,17.160453786296408,16.725,16.289546213703595
2021-02-23,00878,9962652,172794688,17.25,17.45,17.19,17.43,0.18,4469,97.6046716982391,95.79615467919565,17.129999999999995,16.874000000000002,16.753000000000004,70.59886304104543,,,,17.283739107283033,16.753000000000004,16.222260892716974
2021-02-24,00878,15750157,274839370,17.48,17.55,17.34,17.37,-0.06,8062,91.89374535239206,95.10161437827833,17.217999999999996,16.966,16.786500000000004,68.39888676895136,,,,17.380445283674682,16.786500000000004,16.192554716325326
2021-02-25,00878,7710943,134130689,17.38,17.48,17.36,17.43,0.0,4451,89.09416398138205,92.86419367733771,17.305999999999994,17.048000000000002,16.820000000000004,69.42494548326131,,,,17.476475437468505,16.820000000000004,16.163524562531503
2021-02-26,00878,15199797,261042915,17.35,17.35,17.09,17.14,-0.29,7627,74.08710610681057,85.02500514686153,17.323999999999995,17.095,16.857000000000006,59.38803169763632,,,,17.49784631542927,16.857000000000006,16.21615368457074
2021-03-02,00878,6006934,103343656,17.24,17.29,17.08,17.08,-0.06,3175,59.32066619751339,74.16731209523532,17.289999999999996,17.141,16.886000000000003,57.534702970421705,0.1917199237439604,0.15420097048121897,0.037518953262741433,17.511920122698964,16.886000000000003,16.26007987730104
2021-03-03,00878,4607873,78955565,17.1,17.24,17.05,17.24,0.16,2207,46.73563218390788,60.047801496077255,17.251999999999995,17.190999999999995,16.915500000000005,61.027439906020085,0.1904980655707753,0.16146038949913025,0.029037676071645063,17.549707379331995,16.915500000000005,16.281292620668015
2021-03-04,00878,9668427,164923931,17.23,17.23,16.98,17.1,-0.14,5082,38.25089605734757,48.102398146256256,17.197999999999997,17.207999999999995,16.928500000000007,56.63778192081722,0.17620175998698784,0.16440866359670175,0.011793096390286084,17.566630864320818,16.928500000000007,16.290369135679196
2021-03-05,00878,6676301,113225026,16.99,17.07,16.88,17.0,-0.1,4041,31.77660086663461,38.92104303596333,17.111999999999995,17.208999999999996,16.94450000000001,53.668304319718075,0.15501574552690656,0.16253007998274271,-0.007514334455836158,17.572878070908644,16.94450000000001,16.316121929091373
